rule,conf_pca
"<dbo:executiveProducer>(a, b) <= <dbo:country>(a, f) & <dbo:stateOfOrigin>(b, f)",2.3737e-05
"<dbo:memberOfParliament>(a, b) <= <dbo:country>(a, f) & <dbo:nationality>(b, f)",2.3877e-05
"<dbo:incumbent>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:birthPlace>(b, f)",2.4272e-05
"<dbo:sourceRegion>(a, b) <= <dbo:country>(b, f) & <dbo:mouthCountry>(a, f)",2.4674e-05
"<dbo:chairperson>(a, b) <= <dbo:country>(a, f) & <dbo:stateOfOrigin>(b, f)",2.5476e-05
"<dbo:showJudge>(a, b) <= <dbo:country>(a, f) & <dbo:hometown>(b, f)",2.5491e-05
"<dbo:education>(a, b) <= <dbo:country>(b, f) & <dbo:residence>(a, f)",2.5521e-05
"<dbo:languageRegulator>(a, b) <= <dbo:locationCountry>(b, f) & <dbo:spokenIn>(a, f)",2.5784e-05
"<dbo:incumbent>(a, b) <= <dbo:party>(a, f) & <dbo:party>(b, f)",2.5835e-05
"<dbo:foundingPerson>(a, b) <= <dbo:country>(a, f) & <dbo:deathPlace>(b, f)",2.5908e-05
"<dbo:alumni>(a, b) <= <dbo:country>(a, f) & <dbo:residence>(b, f)",2.593e-05
"<dbo:coach>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:location>(a, f)",2.6723e-05
"<dbo:sourceRegion>(a, b) <= <dbo:country>(b, f) & <dbo:sourceCountry>(a, f)",2.6876e-05
"<dbo:partner>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:deathPlace>(b, f)",2.7173e-05
"<dbo:child>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:deathPlace>(b, f)",2.7743e-05
"<dbo:employer>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:location>(b, f)",2.7787e-05
"<dbo:alumni>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",2.7871e-05
"<dbo:influencedBy>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:nationality>(b, f)",2.8022e-05
"<dbo:executiveProducer>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:location>(a, f)",2.8129e-05
"<dbo:opponent>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:nationality>(b, f)",2.8146e-05
"<dbo:alumni>(a, b) <= <dbo:country>(a, f) & <dbo:deathPlace>(b, f)",2.8463e-05
"<dbo:mayor>(a, b) <= <dbo:country>(a, f) & <dbo:stateOfOrigin>(b, f)",2.8617e-05
"<dbo:sourceRegion>(a, b) <= <dbo:location>(b, f) & <dbo:state>(a, f)",2.8686e-05
"<dbo:opponent>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:birthPlace>(b, f)",2.9253e-05
"<dbo:viceChancellor>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:city>(a, f)",2.9372e-05
"<dbo:rightTributary>(a, b) <= <dbo:country>(a, f) & <dbo:sourceCountry>(b, f)",2.9726e-05
"<dbo:opponent>(a, b) <= <dbo:nationality>(a, f) & <dbo:nationality>(b, f)",2.9939e-05
"<dbo:municipality>(a, b) <= <dbo:type>(a, f) & <dbo:type>(b, f)",3.0126e-05
"<dbo:secondDriver>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:secondDriverCountry>(a, f)",3.0803e-05
"<dbo:currentPartner>(a, b) <= <dbo:country>(a, f) & <dbo:residence>(b, f)",3.0974e-05
"<dbo:showJudge>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:location>(a, f)",3.1113e-05
"<dbo:opponent>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:deathPlace>(b, f)",3.1446e-05
"<dbo:poleDriver>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:firstDriverCountry>(a, f)",3.1457e-05
"<dbo:currentPartner>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:country>(a, f)",3.2391e-05
"<dbo:notableWork>(a, b) <= <dbo:country>(b, f) & <dbo:nationality>(a, f)",3.2517e-05
"<dbo:influencedBy>(a, b) <= <dbo:deathPlace>(a, f) & <dbo:nationality>(b, f)",3.261e-05
"<dbo:significantBuilding>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:location>(b, f)",3.2973e-05
"<dbo:alumni>(a, b) <= <dbo:country>(a, f) & <dbo:hometown>(b, f)",3.3321e-05
"<dbo:doctoralStudent>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:birthPlace>(b, f)",3.3748e-05
"<dbo:denomination>(a, b) <= <dbo:state>(a, f) & <dbo:state>(b, f)",3.4096e-05
"<dbo:parentCompany>(a, b) <= <dbo:location>(b, f) & <dbo:locationCountry>(a, f)",3.5266e-05
"<dbo:highschool>(a, b) <= <dbo:country>(b, f) & <dbo:nationality>(a, f)",3.5349e-05
"<dbo:saint>(a, b) <= <dbo:country>(a, f) & <dbo:deathPlace>(b, f)",3.5372e-05
"<dbo:choreographer>(a, b) <= <dbo:birthPlace>(a, f) & <dbo:birthPlace>(b, f)",3.5736e-05
"<dbo:gameEngine>(a, b) <= <dbo:computingPlatform>(a, f) & <dbo:operatingSystem>(b, f)",3.5746e-05
"<dbo:opponent>(a, b) <= <dbo:religion>(a, f) & <dbo:religion>(b, f)",3.5758e-05
"<dbo:assembly>(a, b) <= <dbo:assembly>(a, f) & <dbo:country>(b, f)",3.6029e-05
"<dbo:designCompany>(a, b) <= <dbo:assembly>(a, f) & <dbo:locationCountry>(b, f)",3.6393e-05
"<dbo:municipality>(a, b) <= <dbo:country>(b, f) & <dbo:location>(a, f)",3.6422e-05
"<dbo:parentCompany>(a, b) <= <dbo:foundationPlace>(a, f) & <dbo:location>(b, f)",3.6711e-05
"<dbo:gameEngine>(a, b) <= <dbo:computingMedia>(a, f) & <dbo:computingMedia>(b, f)",3.6806e-05
"<dbo:secondCommander>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:garrison>(a, f)",3.7407e-05
"<dbo:nrhpType>(a, b) <= <dbo:location>(a, f) & <dbo:location>(b, f)",3.7428e-05
"<dbo:operatedBy>(a, b) <= <dbo:country>(a, f) & <dbo:location>(b, f)",3.7596e-05
"<dbo:premierePlace>(a, b) <= <dbo:location>(b, f) & <dbo:premierePlace>(a, f)",3.8106e-05
"<dbo:owningCompany>(a, b) <= <dbo:type>(a, f) & <dbo:type>(b, f)",3.8802e-05
"<dbo:significantBuilding>(a, b) <= <dbo:country>(b, f) & <dbo:deathPlace>(a, f)",3.9086e-05
"<dbo:partner>(a, b) <= <dbo:nationality>(a, f) & <dbo:nationality>(b, f)",3.9755e-05
"<dbo:chairperson>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:county>(a, f)",4.0026e-05
"<dbo:island>(a, b) <= <dbo:type>(a, f) & <dbo:type>(b, f)",4.005e-05
"<dbo:child>(a, b) <= <dbo:deathPlace>(a, f) & <dbo:nationality>(b, f)",4.0391e-05
"<dbo:launchSite>(a, b) <= <dbo:countryOrigin>(a, f) & <dbo:headquarter>(b, f)",4.0448e-05
"<dbo:viceChancellor>(a, b) <= <dbo:country>(a, f) & <dbo:nationality>(b, f)",4.0522e-05
"<dbo:employer>(a, b) <= <dbo:locationCountry>(b, f) & <dbo:nationality>(a, f)",4.1113e-05
"<dbo:employer>(a, b) <= <dbo:locationCountry>(b, f) & <dbo:stateOfOrigin>(a, f)",4.1113e-05
"<dbo:river>(a, b) <= <dbo:country>(a, f) & <dbo:origin>(b, f)",4.1391e-05
"<dbo:formerChoreographer>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:residence>(a, f)",4.2012e-05
"<dbo:child>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:stateOfOrigin>(a, f)",4.2123e-05
"<dbo:source>(a, b) <= <dbo:isPartOf>(b, f) & <dbo:state>(a, f)",4.2141e-05
"<dbo:creativeDirector>(a, b) <= <dbo:country>(a, f) & <dbo:deathPlace>(b, f)",4.2718e-05
"<dbo:sisterNewspaper>(a, b) <= <dbo:language>(a, f) & <dbo:language>(b, f)",4.3668e-05
"<dbo:choreographer>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:residence>(a, f)",4.3992e-05
